Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Paul Warfield,MIA,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,9.0,115.0,43.0,996.0,23.16,3.0,0.0,0.0,0.0,0.0,115.0,0.0,9.0,996.0,11.0,214.1
Greg Landry,DET,QB,25.0,14.0,14.0,136.0,261.0,2237.0,13.0,76.0,530.0,0.0,0.0,0.0,5.0,0.0,2237.0,16.0,261.0,530.0,3.0,76.0,0.0,0.0,188.48
Otis Taylor,KAN,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,25.0,57.0,1110.0,19.47,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,1110.0,7.0,218.5
Steve Owens,DET,RB,24.0,14.0,13.0,0.0,0.0,0.0,0.0,246.0,1035.0,32.0,350.0,10.94,5.0,0.0,0.0,0.0,0.0,1035.0,8.0,246.0,350.0,2.0,220.5
Fred Biletnikoff,OAK,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,929.0,15.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,9.0,205.9
Roger Staubach,DAL,QB,29.0,13.0,10.0,126.0,211.0,1882.0,4.0,41.0,343.0,0.0,0.0,0.0,6.0,0.0,1882.0,15.0,211.0,343.0,2.0,41.0,0.0,0.0,161.57999999999998
Randy Vataha,NWE,WR,23.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,872.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,9.0,192.2
John Hadl,SDG,QB,31.0,14.0,14.0,233.0,431.0,3075.0,25.0,18.0,75.0,0.0,0.0,0.0,4.0,0.0,3075.0,21.0,431.0,75.0,1.0,18.0,0.0,0.0,162.5
Leroy Kelly,CLE,RB,29.0,14.0,14.0,1.0,4.0,23.0,0.0,234.0,865.0,25.0,252.0,10.08,7.0,0.0,23.0,0.0,4.0,865.0,10.0,234.0,252.0,2.0,195.62
Bob Hayes,DAL,WR,29.0,14.0,13.0,0.0,0.0,0.0,0.0,3.0,18.0,35.0,840.0,24.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,840.0,8.0,168.8
Floyd Little,DEN,RB,29.0,14.0,13.0,0.0,1.0,0.0,0.0,284.0,1133.0,26.0,255.0,9.81,4.0,0.0,0.0,0.0,1.0,1133.0,6.0,284.0,255.0,0.0,192.8
Gary Garrison,SDG,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,889.0,21.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,889.0,6.0,166.9
Bob Grim,MIN,WR,26.0,14.0,14.0,0.0,1.0,0.0,0.0,6.0,127.0,45.0,691.0,15.36,0.0,0.0,0.0,0.0,1.0,127.0,0.0,6.0,691.0,7.0,168.79999999999998
Duane Thomas,DAL,RB,24.0,11.0,10.0,0.0,1.0,0.0,0.0,175.0,793.0,13.0,153.0,11.77,3.0,0.0,0.0,0.0,1.0,793.0,11.0,175.0,153.0,2.0,179.6
Roman Gabriel,RAM,QB,31.0,14.0,14.0,180.0,352.0,2238.0,10.0,18.0,48.0,0.0,0.0,0.0,9.0,0.0,2238.0,17.0,352.0,48.0,2.0,18.0,0.0,0.0,136.32
Bob Tucker,NYG,TE,26.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,59.0,791.0,13.41,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,791.0,4.0,156.2
Terry Bradshaw,PIT,QB,23.0,14.0,13.0,203.0,373.0,2259.0,22.0,53.0,247.0,0.0,0.0,0.0,7.0,0.0,2259.0,13.0,373.0,247.0,5.0,53.0,0.0,0.0,139.06
Ted Kwalick,SFO,TE,24.0,14.0,14.0,0.0,0.0,0.0,0.0,6.0,62.0,52.0,664.0,12.77,2.0,0.0,0.0,0.0,0.0,62.0,0.0,6.0,664.0,5.0,150.6
John Brodie,SFO,QB,36.0,14.0,14.0,208.0,387.0,2642.0,24.0,14.0,45.0,0.0,0.0,0.0,3.0,0.0,2642.0,18.0,387.0,45.0,3.0,14.0,0.0,0.0,146.18
Jim Plunkett,NWE,QB,24.0,14.0,14.0,158.0,328.0,2158.0,16.0,45.0,210.0,0.0,0.0,0.0,6.0,0.0,2158.0,19.0,328.0,210.0,0.0,45.0,0.0,0.0,139.32
Bob Griese,MIA,QB,26.0,14.0,13.0,145.0,263.0,2089.0,9.0,26.0,82.0,0.0,0.0,0.0,9.0,0.0,2089.0,19.0,263.0,82.0,0.0,26.0,0.0,0.0,131.76
Larry Csonka,MIA,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,195.0,1051.0,13.0,113.0,8.69,0.0,0.0,0.0,0.0,0.0,1051.0,7.0,195.0,113.0,1.0,177.4
Gene Washington,SFO,WR,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,884.0,19.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,4.0,158.4
Jim Mitchell,ATL,TE,24.0,13.0,13.0,0.0,0.0,0.0,0.0,4.0,25.0,33.0,593.0,17.97,3.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,593.0,5.0,118.8
Ken Burrow,ATL,WR,23.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,5.0,33.0,741.0,22.45,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,741.0,6.0,141.6
Charlie Joiner,HOU,WR,24.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,681.0,21.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,7.0,139.1
Norm Bulaich,BAL,RB,25.0,13.0,12.0,0.0,0.0,0.0,0.0,152.0,741.0,25.0,229.0,9.16,4.0,0.0,0.0,0.0,0.0,741.0,8.0,152.0,229.0,2.0,174.0
