Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Marcus Allen,RAI,RB,22.0,9.0,9.0,1.0,4.0,47.0,0.0,160.0,697.0,38.0,401.0,10.55,5.0,0.0,47.0,0.0,4.0,697.0,11.0,160.0,401.0,3.0,223.68
Wes Chandler,SDG,WR,26.0,8.0,8.0,0.0,0.0,0.0,0.0,5.0,32.0,49.0,1032.0,21.06,0.0,0.0,0.0,0.0,0.0,32.0,0.0,5.0,1032.0,9.0,209.4
Wendell Tyler,RAM,RB,27.0,9.0,9.0,0.0,0.0,0.0,0.0,137.0,564.0,38.0,375.0,9.87,10.0,0.0,0.0,0.0,0.0,564.0,9.0,137.0,375.0,4.0,189.9
William Andrews,ATL,RB,27.0,9.0,9.0,0.0,0.0,0.0,0.0,139.0,573.0,42.0,503.0,11.98,1.0,0.0,0.0,0.0,0.0,573.0,5.0,139.0,503.0,2.0,189.6
Dwight Clark,SFO,WR,25.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,913.0,15.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,5.0,179.3
Kellen Winslow,SDG,TE,25.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,721.0,13.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,721.0,6.0,160.1
Charlie Brown,WAS,WR,24.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,690.0,21.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,8.0,147.0
Chuck Muncie,SDG,RB,29.0,9.0,9.0,2.0,3.0,83.0,0.0,138.0,569.0,25.0,207.0,8.28,4.0,0.0,83.0,2.0,3.0,569.0,8.0,138.0,207.0,1.0,159.92
Joe Montana,SFO,QB,26.0,9.0,9.0,213.0,346.0,2613.0,11.0,30.0,118.0,0.0,0.0,0.0,4.0,0.0,2613.0,17.0,346.0,118.0,1.0,30.0,0.0,0.0,160.32
Dan Fouts,SDG,QB,31.0,9.0,9.0,204.0,330.0,2883.0,11.0,9.0,8.0,0.0,0.0,0.0,2.0,0.0,2883.0,17.0,330.0,8.0,1.0,9.0,0.0,0.0,164.12
Freeman McNeil,NYJ,RB,23.0,9.0,9.0,0.0,0.0,0.0,0.0,151.0,786.0,16.0,187.0,11.69,7.0,0.0,0.0,0.0,0.0,786.0,6.0,151.0,187.0,1.0,141.3
James Lofton,GNB,WR,26.0,9.0,9.0,1.0,1.0,43.0,0.0,4.0,101.0,35.0,696.0,19.89,0.0,0.0,43.0,0.0,1.0,101.0,1.0,4.0,696.0,4.0,146.42
Ken Anderson,CIN,QB,33.0,9.0,9.0,218.0,309.0,2495.0,9.0,25.0,85.0,0.0,0.0,0.0,1.0,0.0,2495.0,12.0,309.0,85.0,4.0,25.0,0.0,0.0,160.3
Dave Casper,HOU,TE,30.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,9.0,36.0,573.0,15.92,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,573.0,6.0,128.20000000000002
Wilbert Montgomery,PHI,RB,28.0,8.0,8.0,0.0,0.0,0.0,0.0,114.0,515.0,20.0,258.0,12.9,3.0,0.0,0.0,0.0,0.0,515.0,7.0,114.0,258.0,2.0,145.3
Pete Johnson,CIN,RB,28.0,9.0,9.0,0.0,0.0,0.0,0.0,156.0,622.0,31.0,267.0,8.61,1.0,0.0,0.0,0.0,0.0,622.0,7.0,156.0,267.0,0.0,159.9
Wesley Walker,NYJ,WR,27.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,620.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,6.0,137.0
Eddie Lee Ivery,GNB,RB,25.0,9.0,9.0,0.0,1.0,0.0,0.0,127.0,453.0,16.0,186.0,11.63,2.0,0.0,0.0,0.0,1.0,453.0,9.0,127.0,186.0,1.0,135.9
Tony Dorsett,DAL,RB,28.0,9.0,9.0,0.0,1.0,0.0,0.0,177.0,745.0,24.0,179.0,7.46,6.0,0.0,0.0,0.0,1.0,745.0,5.0,177.0,179.0,0.0,134.4
Billy Sims,DET,RB,27.0,9.0,8.0,0.0,0.0,0.0,0.0,172.0,639.0,34.0,342.0,10.06,7.0,0.0,0.0,0.0,0.0,639.0,4.0,172.0,342.0,0.0,142.1
Ozzie Newsome,CLE,TE,26.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,633.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,3.0,130.3
Jeff Moore,SFO,RB,26.0,9.0,4.0,0.0,0.0,0.0,0.0,85.0,281.0,37.0,405.0,10.95,4.0,0.0,0.0,0.0,0.0,281.0,4.0,85.0,405.0,4.0,145.6
Tommy Kramer,MIN,QB,27.0,9.0,9.0,176.0,308.0,2037.0,12.0,21.0,77.0,0.0,0.0,0.0,3.0,0.0,2037.0,15.0,308.0,77.0,3.0,21.0,0.0,0.0,137.18
Todd Christensen,RAI,TE,26.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,-6.0,42.0,510.0,12.14,3.0,0.0,0.0,0.0,0.0,-6.0,0.0,1.0,510.0,4.0,110.4
John Stallworth,PIT,WR,30.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,9.0,27.0,441.0,16.33,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,441.0,7.0,110.0
Andra Franklin,MIA,RB,23.0,9.0,9.0,0.0,0.0,0.0,0.0,177.0,701.0,3.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,701.0,7.0,177.0,9.0,0.0,110.0
Cliff Branch,RAI,WR,34.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,10.0,30.0,575.0,19.17,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,575.0,4.0,112.5
Dan Ross,CIN,TE,25.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,508.0,10.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,3.0,113.8
Jimmie Giles,TAM,TE,28.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,499.0,17.82,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,499.0,3.0,92.0
Doug Cosbie,DAL,TE,26.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,-2.0,30.0,441.0,14.7,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,441.0,4.0,97.9
Sammy White,MIN,WR,28.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,503.0,17.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,5.0,109.3
Emery Moorehead,CHI,TE,28.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,30.0,363.0,12.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,363.0,5.0,96.6
Harold Carmichael,PHI,WR,33.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,540.0,15.43,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,4.0,107.0
Danny White,DAL,QB,30.0,9.0,9.0,156.0,247.0,2079.0,12.0,17.0,91.0,0.0,0.0,0.0,10.0,0.0,2079.0,16.0,247.0,91.0,0.0,17.0,0.0,0.0,112.26
James Wilder,TAM,RB,24.0,9.0,9.0,0.0,0.0,0.0,0.0,83.0,324.0,53.0,466.0,8.79,5.0,0.0,0.0,0.0,0.0,324.0,3.0,83.0,466.0,1.0,146.0
Stanley Morgan,NWE,WR,27.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,28.0,584.0,20.86,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,584.0,3.0,104.7
Walter Payton,CHI,RB,28.0,9.0,9.0,1.0,3.0,39.0,0.0,148.0,596.0,32.0,311.0,9.72,3.0,0.0,39.0,1.0,3.0,596.0,1.0,148.0,311.0,0.0,128.26
Joe Theismann,WAS,QB,33.0,9.0,9.0,161.0,252.0,2033.0,9.0,31.0,150.0,0.0,0.0,0.0,4.0,0.0,2033.0,13.0,252.0,150.0,0.0,31.0,0.0,0.0,122.32
Henry Marshall,KAN,WR,28.0,9.0,9.0,0.0,1.0,0.0,0.0,3.0,25.0,40.0,549.0,13.73,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,549.0,3.0,115.4
